"Category","Name","Description","Value ","Default Value"
Environment,regen_backup_using_disk,Specifies whether or not the system backs up the current model to disk before each regeneration.,"yes, no",no
Without category,regen_failure_handling,Specifies whether to enter resolve mode when regeneration failures occur.  Resolve_mode - Enter resolve mode when regeneration failures occur. No_resolve_mode - Don't enter resolve mode when regeneration failures occur.,"resolve_mode, no_resolve_mode",no_resolve_mode
Without category,regen_int_mdls_on_retr,Yes to regen models intersected with assem feats during assembly retrieval.,"yes, no",no
Assembly,regen_notebook_w_assem,Specifies whether or not the notebook will be automatically regenerated upon assembly regeneration.,"yes, no",yes
File Storage & Retrieval,regen_simp_retrieve,Regenerate the assembly when retrieving an assembly simplified representation. Yes - Regenerates the assembly on retreival.  No - The assembly is not regenerated on retrieval.,"yes, no",no
Without category,regen_solid_before_save,"Controls whether to regenerate top model,  or promot user before regeneration if it is required","yes, no, prompt, force",prompt
Data Management,regenerate_read_only_objects,Determines whether an object retrieved from PDM database with read only status can be regenerated in a Creo Parametric session.,"yes, no",yes
User Interface,relation_file_editor,Sets the editor used to edit relations.,"protab, editor",editor
Miscellaneous,relation_text_trail_output,No - Disable trail output from Text layout in Relation Parameter UI if it hasn't been changed.,"yes, no",yes
Miscellaneous,relation_tool_mapkey_behavior,Will control how mapkeys will be executed in relation tool / dialog.  Incremental will add/remove text incrementally to the current set.  Full_output will record the original set state and replace the current one with it. Note: this config is dependent on relation_text_trail_output.,"increment, full_output",increment
Without category,relations_ang_eval_diff_check,Check for differences in the evaluation of relation sets evaluated and saved in versions of Creo 2.0 prior to M110. Warn_message Check and give a warning in the message area. Warn_dialog skip the check and warning.,"ignore, warn_message, warn_dialog",warn_message
Without category,relations_num_const_units,Specifies whether diagnostic should be issued when an unitless numeric value causes relation expression evaluation trouble.,"yes, no",no
Without category,relations_units_sensitive,"Set the default unit sensitivity (ignore or take into account parameter/dimensions units) in creation of new relation data (legacy relation data will not be unit sensitive until ""converted"" to one).","yes, no",yes
Without category,remember_last_attach_type,Yes - Sets the default of the ATTACH TYPE menu of the last options picked.,"yes, no",yes
Drawing,remember_last_get_point_option,"Yes - Sets the default of the GET POINT menu as the last option picked among Pick Pnt, Vertex and On Entity.","yes, no",no
Without category,remember_replaced_components,"Set to ""Yes"" this option will preserve a dependency to the replaced, outgoing, component. Set to ""No"" the dependency will, when possible, be removed.","yes, no",yes
File Storage & Retrieval,rename_drawings_with_object,Controls whether the system copies associated drawings automatically with parts and assemblies.,"none, both, part, assem",none
Assembly,replace_comp_name_method,Sets the naming convention used when replacing components.,"transfer, remove, preserve",transfer
Without category,replace_comp_notes_method,Specify treatment of notes when components are replaced. Transfer - transfer to new component. Remove - remove the notes. Preserve - save notes in case component is restored.,"transfer, remove, preserve",transfer
Assembly,replace_history_rule_order,Set the default order of the history evaluation rule in the replace operation. Disable - the evaluation rule will be disabled by default. Number - set the order of the rule relative to other evaluation rules.,"1, 3, 2, disable, 4, 5",3
Assembly,replace_interface_rule_order,Set the default order of the interface evaluation rule in the replace operation. Disable - the evaluation rule will be disabled by default. Number - set the order of the rule relative to other evaluation rules.,"1, 3, 2, disable, 4, 5",1
Assembly,replace_sameid_rule_order,Set the default order of the same id evaluation rule in the replace operation. Disable - the evaluation rule will be disabled by default. Number - set the order of the rule relative to other evaluation rules.,"1, 3, 2, disable, 4, 5",5
Assembly,replace_samename_rule_order,Set the default order of the same name evaluation rule in the replace operation. Disable - the evaluation rule will be disabled by default. Number - set the order of the rule relative to other evaluation rules.,"1, 3, 2, disable, 4, 5",2
Assembly,replace_sameparam_rule_order,Set the default order of the same parameters evaluation rule in the replace operation. Disable - the evaluation rule will be disabled by default. Number - set the order of the rule relative to other evaluation rules.,"1, 3, 2, disable, 4, 5",4
Assembly,replace_unrelated_automatic,Availability of automatic reference pairing in unrelated replace. No - Automatic reference pairing is not available. Yes - Automatic reference pairing is available.,"yes, no",no
Electromechanical,report_end_splice,Setup whether the terminal splices of cables are reported.,"yes, no",no
Without category,reroute_affected_children,Affected children when setting Current solution.,"none, auto, selective",selective
User Interface,reserved_menu_space,Reserves space for extra menus to the right of the Creo Parametric window (0.0-4.0). This option overrides windows_scale.,,1
Dimensions & Tolerances,restricted_gtol_dialog,"Determines whether the Geometric Tolerance dialog restricts the user by graying out elements that are considered ""illegal"".","yes, no",yes
Without category,restricted_val_definition,Specify name and path of the file contained restricted values definition.,,
File Storage & Retrieval,retain_display_memory,Determines if the display of an object currently on the screen is kept in memory when you quit the window. Doing so (yes) makes the retrieval of objects in memory faster.,"yes, no",yes
File Storage & Retrieval,retrieve_data_sharing_ref_parts,Automatic reference parts retrieval for dependent data sharing features.,"yes, no, ignore_missing",no
Without category,retrieve_display,Controls whether or not graphics data is loaded in the background.,"background, foreground",background
Assembly,retrieve_instance_dependencies,Determines whether to retrieve the dependencies of the generic when an instance is retrieved.,"instance_deps_only, instance_and_generic_deps, instance_req_generic",instance_req_generic
Without category,retrieve_merge_ref_parts,Automatic reference parts retrieval for dependent Merge.,"yes, no, ignore_missing",no
Manufacturing,reverse_spiral_finish_type,"If the option value is 1, the tool path is obtained from standard one by reversing it; if the option value is 2, the tool path starts from an inner circle.",,
Electromechanical,ribbon_cable_flat_direction,Flat ribbon cables in the y-axis of entry ports.,"y_axis, x_axis",y_axis
User Interface,right_mouse_button_popup,Specify whether or not the right mouse button pop up menu is available or not.,"yes, no",yes
Without category,rmv_xsec_unlinked_cosm_feats,"Specify whether to automatically try to delete, or to detach from the feature list, the internal sketch features which were unlinked from offset cross sections, and whether to do it only upon sketch unlinking, or upon model retrieval too.","none, detach_on_unlink, delete_on_unlink, detach_on_both, delete_on_both",detach_on_unlink
Photorender,room_rotation_lock,Default room rotation setting at session start.  studio - Lock room rotation to studio.  model - Lock room rotation to model.,"studio, model",studio
Printing & Plotting,rotate_postscript_print,"Specifies rotation for printing. Yes - Rotates a PostScript plot 90 degrees counterclockwise. Use when you are plotting a landscape drawing on a portrait-type laser printer, or a portrait drawing on a landscape-type laser printer.","yes, no",
